id;name
1;директор
2;первый зам.дир.
4;гл.бухгалтер
7;пресс-секретарь
9;вед.спец.
10;нач. ОДО
11;секр.руковод.
14;нач. юр.отдела
15;вед.юрискон.
16;юрисконсульт
17;нач. фин.отдела
18;вед.эконом.
19;экономист
21;зам.гл.бухг.
22;вед.бухгалтер
23;бухгалтер
24;нач. ПО
25;зам.нач.отд.
26;инженер
27;вед.инженер
30;фельдшер
45;главный инженер
63;нач-к ОООС
65;ведущий гидрогеолог
70;нач.сектора
71;инженер 2 кат.
78;специалист
79;руководитель службы
84;делопроизводитель
86;зам. руководителя
88;начальник отдела
93;Руководитель контрольного управления
94;вед.специалист по ПБ
97;бухгалтер-кассир
98;Оператор КОС
99;Слесарь АВР
100;Обработчик
101;Машинист н/у
